x,y
90.513,53.377
91.295,54.159
92.077,54.941
92.859,55.722
93.64,56.504
94.422,57.286
95.204,58.067
95.985,58.849
96.767,59.631
97.549,60.412
98.33,61.194
99.112,61.976
99.894,62.757
50,63.539
50.782,64.321
51.563,65.103
52.345,65.884
53.127,66.666
53.908,67.448
54.69,68.229
55.472,69.011
56.254,69.793
57.035,70.574
57.817,71.356
58.599,72.138
59.38,72.919
60.162,73.701
60.944,74.483
61.725,75.265
62.507,76.046
63.289,76.828
64.07,77.61
64.852,78.391
65.634,79.173
66.416,79.955
67.197,80.736
67.979,81.518
68.761,82.3
69.542,83.081
70.324,83.863
71.106,84.645
71.887,85.427
72.669,86.208
73.451,86.99
74.232,87.772
75.014,88.553
75.796,89.335
76.578,90.117
77.359,90.898
78.141,91.68
