x,y
67.914,39.552
68.179,39.817
68.444,40.082
68.709,40.347
68.974,40.612
69.239,40.877
69.504,41.142
69.769,41.407
70.035,41.673
70.3,41.938
70.565,42.203
70.83,42.468
71.095,42.733
71.36,42.998
71.625,43.263
71.89,43.528
72.156,43.794
72.421,44.059
72.686,44.324
72.951,44.589
73.875,45.513
74.8,46.438
75.725,47.362
76.649,48.287
77.574,49.212
78.498,50.136
79.423,51.061
80.347,51.985
81.272,52.91
82.196,53.834
83.121,54.759
84.045,55.683
84.97,56.608
85.894,57.532
86.819,58.457
87.743,59.381
88.668,60.306
89.592,61.23
90.517,62.155
91.441,63.079
90.615,62.253
89.788,61.426
88.962,60.6
88.135,59.773
87.309,58.947
86.482,58.12
85.655,57.293
84.829,56.467
84.002,55.64
83.176,54.814
82.349,53.987
81.523,53.16
80.696,52.334
79.869,51.507
79.043,50.681
78.216,49.854
77.39,49.028
76.563,48.201
75.737,47.374
74.91,46.548
75.713,47.35
76.515,48.153
77.318,48.956
78.12,49.758
78.923,50.561
79.725,51.363
80.528,52.166
81.331,52.969
82.133,53.771
82.936,54.574
83.738,55.376
84.541,56.179
85.343,56.981
86.146,57.784
86.949,58.587
87.751,59.389
88.554,60.192
89.356,60.994
90.159,61.797
90.961,62.599
91.291,62.929
91.62,63.258
91.949,63.587
92.279,63.917
92.608,64.246
92.937,64.575
93.266,64.904
93.596,65.234
93.925,65.563
94.254,65.892
94.584,66.222
94.913,66.551
95.242,66.88
95.571,67.209
95.901,67.539
96.23,67.868
96.559,68.197
96.889,68.527
97.218,68.856
97.547,69.185
98.274,69.912
99.001,70.639
99.728,71.366
50,72.093
50.727,72.82
51.454,73.546
52.181,74.273
52.908,75
53.634,75.727
54.361,76.454
55.088,77.181
55.815,77.908
56.542,78.635
57.269,79.362
57.996,80.089
58.723,80.815
59.45,81.542
60.177,82.269
60.903,82.996
61.63,83.723
62.417,84.509
63.203,85.296
63.99,86.082
64.776,86.869
65.563,87.655
66.349,88.442
67.136,89.228
67.922,90.015
68.709,90.801
69.495,91.588
70.282,92.374
71.068,93.161
71.854,93.947
72.641,94.734
73.427,95.52
74.214,96.307
75,97.093
75.787,97.88
76.573,98.666
77.36,99.453
77.371,99.464
77.383,99.476
77.395,99.487
77.406,99.499
77.418,99.511
77.43,99.522
77.441,99.534
77.453,99.546
77.465,99.557
77.476,99.569
77.488,99.581
77.5,99.592
77.511,99.604
77.523,99.616
77.535,99.627
77.546,99.639
77.558,99.651
77.57,99.662
77.581,99.674
77.593,99.686
77.163,99.256
76.733,98.825
76.303,98.395
75.873,97.965
75.442,97.535
75.012,97.105
74.582,96.675
74.152,96.245
73.722,95.815
73.292,95.385
72.862,94.955
72.432,94.525
72.002,94.095
71.572,93.665
71.142,93.234
70.712,92.804
70.282,92.374
69.852,91.944
69.421,91.514
68.991,91.084
68.21,90.302
67.428,89.52
66.646,88.739
65.864,87.957
65.082,87.175
64.3,86.393
63.518,85.611
62.737,84.829
61.955,84.047
61.173,83.266
60.391,82.484
59.609,81.702
58.827,80.92
58.046,80.138
57.264,79.356
56.482,78.575
55.7,77.793
54.918,77.011
54.136,76.229
53.354,75.447
