x,y,X1,Y1,X2,Y2,,
430.5,333,680,61,859,380.5,,
427.5,328,683,68,858,379,,
430.5,321,690,75.5,857.5,377.5,,
432.5,321,694,82.5,855.5,378.5,,
435,320.5,699,89,851,381,,
436.5,320.5,702.5,97,851.5,381,,
439.5,321.5,710,104.5,854,381.5,,
443,320,713,110.5,856,378.5,,
445.5,318.5,718,117.5,858,379,,
447,316.5,722,124.5,860,378.5,,
450.5,316,729.5,132.5,861.5,379,,
451,314,733,138,862,378.5,,
453,314,737.5,144,863,379,,
455,313,742,152,863.5,377.5,,
455.5,311,747,158,865,376.5,,
457.5,309.5,750.5,165.5,866.5,377,,
458,308,754,169,867.5,375,,
458.5,306.5,758,176,869.5,373,,
460,304.5,761.5,182,870,371.5,,
461.5,303,766,190.5,871,370.5,,
462,304,767.5,196.5,872.5,369,,
463,302.5,771.5,203,874,369,,
464,302,776.5,209,873,369,,
465.5,299,777.5,215,873,368.5,,
466,298,781,221.5,872,367,,
467.5,298.5,785,225.5,871,366,,
469,300,789.5,233.5,870,365,,
470,301.5,793,238.5,869.5,362.5,,
471,303,796.5,245.5,869,360,,
472.5,306,800.5,251.5,868.5,359.5,,
474,308.5,803.5,258,866.5,357,,
476,311,806.5,266,865,353.5,,
477.5,313,809.5,271.5,864.5,349.5,,
479.5,313.5,813,277,862.5,348.5,,
481,314,815.5,285.5,862,344.5,,
481,317,819.5,292,860,338,,
481.5,318.5,821.5,298,856,334.5,,
482,322.5,826,306,850.5,330.5,,
481.5,325.5,829,314.5,848.5,328.5,,
481,330.5,835,319.5,849.5,327,,
481,333.5,840.5,319.5,848,327,,
481.5,335.5,842,321,845.5,325,,
480,339,843,322,846.5,322,,
480.5,341.5,843.5,318.5,845,318.5,,
479.5,343.5,843.5,314,845,313,,
479.5,347,840.5,309.5,844.5,310.5,,
479,349,838.5,306.5,840.5,310,,
478.5,351.5,837,303.5,839,307.5,,
477,354.5,836.5,299.5,836,307,,
474.5,356.5,833.5,297.5,833.5,305.5,,
472.5,360,833.5,295,833,303,,
473,366,832,289.5,834,300,,
472,372,830,286.5,834.5,296.5,,
471,377.5,828.5,284,833,294.5,,
469.5,381.5,827,281.5,830.5,290.5,,
