x1,y1
280.5,41.25
278.5,41.5
278.25,41.5
278.5,40.25
279.75,39.75
280.75,39.5
281.25,38.75
282,38.5
284,37.5
285.75,36.25
286.5,35.5
286.5,34.75
285.5,33.25
284.75,31
283.75,29.25
282,27
281.5,24.25
280,19.75
276,15.5
275.25,14
273.5,12.75
272.25,8.75
271,5.25
270,4.25
267,3
267,-0.75
266.5,-4.5
264.75,-7.25
263,-10.5
262,-12.25
262.75,-17.25
263.5,-22
263.5,-26
264.25,-26.5
263.5,-27.25
263,-29.25
263,-31.25
262.75,-32.75
262.5,-33.5
262.75,-35.25
264,-37
263.75,-39.25
263.75,-40.75
262.5,-42.75
259.75,-44
257,-47.25
254.5,-50.25
251.25,-53.75
247.5,-56
243.75,-58.5
239.25,-62.25
234.5,-65.25
230.75,-68
226.25,-70.25
219.75,-73.25
212,-78.75
201.25,-85.25
196.25,-87
192.25,-89.25
187,-92.5
186,-96.25
180.25,-99.25
172,-103.75
165,-105.25
158.5,-106.75
154,-109
149,-111.75
142.75,-112.75
134.75,-115.5
128.5,-116.75
122.5,-117.75
116.5,-118.75
110.5,-118.75
105.75,-115.5
99.5,-112.75
95.5,-109.75
92.25,-105.75
89.75,-103
86.75,-99
83,-95
80.25,-91.25
78.25,-89.25
75.75,-86
75.25,-82.25
72.75,-78
73.5,-70.75
72.5,-67.25
73.25,-65.75
71.75,-62.75
71,-58.25
71.25,-55
71.25,-50.5
70.75,-48.25
69.75,-46.75
71,-43.75
71.75,-40.25
72.75,-37
74,-34.25
74,-33.5
75.5,-32.5
76.5,-30
77.75,-25.75
79.25,-21.25
81,-15.75
83.5,-12.25
86.5,-9
90,-5
91.5,-0.5
92.5,4
93.75,6.75
94.75,9.25
96.75,12.25
97.75,16
99.5,21.75
102.75,27.5
104,31
104.75,34.25
104.75,37.75
104.25,41
104,46
102.5,50.75
101.25,53.5
100,57.75
97.25,60.25
96.5,60.75
94.25,62.5
89.5,64.5
86,68
83.75,71.5
83,73.25
79.75,75
78,78.25
75.25,79.75
73.25,80.25
70.75,82.5
70.25,83
70.25,82.75
69.25,82.5
69.5,84
68.25,87
66.5,89.75
64.5,93.5
63.5,95.25
63.75,96.25
64.25,97.25
65.25,97.75
65.5,98.5
67.25,99.5
280.75,39
278.25,40.25
278,40.75
279.25,40.25
280.25,39.75
280.75,39.5
281.5,39
282.5,38.25
284,37
285.5,36.25
286.25,35
286.25,34.25
285.75,33.5
284.75,31.25
283.75,29.5
282.25,27.25
281.25,23.75
279.5,19.5
276.25,15.25
274.75,14
273.25,12.5
272,9
271.5,5.5
269.75,4
267.25,3.25
267,-0.75
266,-4.25
264.5,-7.5
262.5,-10.5
262.25,-12.5
262.75,-18
263.5,-22.25
263,-26
264,-27.25
263.5,-27.25
263.25,-29
263.25,-31.25
263.25,-33
263,-33.5
263.25,-34.25
263,-36
263.25,-38.75
263.5,-40.75
262.5,-42.75
260,-44
257,-47
254.75,-50.25
251.5,-53.25
247.75,-56.25
243.25,-58.5
239.25,-62.75
233.5,-65.75
230,-68.5
225.5,-71.25
219.25,-73.75
211.75,-79.5
201.25,-85.5
195.75,-87.5
192,-88.75
187,-93
186,-96.25
180.5,-99.25
171.5,-103
164.25,-105.5
159.5,-107.75
154,-109.5
149.5,-112
142.75,-112.5
135.5,-115.25
128,-117
121.75,-118.5
116.75,-118.25
110.75,-118.5
105.25,-115.5
99.5,-112.5
95.75,-109.75
92.25,-106.75
90.25,-102.75
86.75,-99
83.25,-95.25
80,-91.25
78,-89.25
75.75,-86.25
75.25,-82.25
73.25,-78.25
73.75,-70.5
73,-67
73.25,-65.5
72,-61.75
71,-58.75
71.25,-54.75
71,-50.25
70.25,-47.75
70.5,-45.75
71.75,-43.75
71.75,-40.25
72.75,-36.75
74,-34.25
74,-33.25
74.75,-32.25
76.5,-30
77.25,-25.75
79.5,-21.5
81.5,-15.25
83.5,-12.25
86,-9.5
89,-5.25
91.5,-1
93.25,3.5
93.75,6
95.25,9.25
96.25,12
97.75,15.5
99.75,22
102.25,27.75
104,31.25
104.25,34.5
104.25,37
104.75,41.25
103.75,45.75
102.75,50.25
101.25,53
100,57
98.25,59.5
97,60.25
94.75,62
89.75,64.25
86.5,68.25
83.5,71.5
82.75,74
79.5,75.25
77.5,78.25
75.25,79.75
73,80.25
70.75,82
70,83.5
70.25,83.25
70,83
69.75,83.75
67.75,87
66.25,89.75
64.25,93.5
63.5,95.5
63.75,95.75
64.75,97
65,97.25
65.75,98
67,99
