x0,y0,x1,y1,x2,y2,x3,y3
"(430.5, 333.0)","(680.0, 61.0)","(859.0, 380.5)"
"(427.5, 328.0)","(683.0, 68.0)","(858.0, 379.0)"
"(430.5, 321.0)","(690.0, 75.5)","(857.5, 377.5)"
"(432.5, 321.0)","(694.0, 82.5)","(855.5, 378.5)"
"(435.0, 320.5)","(699.0, 89.0)","(851.0, 381.0)"
"(436.5, 320.5)","(702.5, 97.0)","(851.5, 381.0)"
"(439.5, 321.5)","(710.0, 104.5)","(854.0, 381.5)"
"(443.0, 320.0)","(713.0, 110.5)","(856.0, 378.5)"
"(445.5, 318.5)","(718.0, 117.5)","(858.0, 379.0)"
"(447.0, 316.5)","(722.0, 124.5)","(860.0, 378.5)"
"(450.5, 316.0)","(729.5, 132.5)","(861.5, 379.0)"
"(451.0, 314.0)","(733.0, 138.0)","(862.0, 378.5)"
"(453.0, 314.0)","(737.5, 144.0)","(863.0, 379.0)"
"(455.0, 313.0)","(742.0, 152.0)","(863.5, 377.5)"
"(455.5, 311.0)","(747.0, 158.0)","(865.0, 376.5)"
"(457.5, 309.5)","(750.5, 165.5)","(866.5, 377.0)"
"(458.0, 308.0)","(754.0, 169.0)","(867.5, 375.0)"
"(458.5, 306.5)","(758.0, 176.0)","(869.5, 373.0)"
"(460.0, 304.5)","(761.5, 182.0)","(870.0, 371.5)"
"(461.5, 303.0)","(766.0, 190.5)","(871.0, 370.5)"
"(462.0, 304.0)","(767.5, 196.5)","(872.5, 369.0)"
"(463.0, 302.5)","(771.5, 203.0)","(874.0, 369.0)"
"(464.0, 302.0)","(776.5, 209.0)","(873.0, 369.0)"
"(465.5, 299.0)","(777.5, 215.0)","(873.0, 368.5)"
"(466.0, 298.0)","(781.0, 221.5)","(872.0, 367.0)"
"(467.5, 298.5)","(785.0, 225.5)","(871.0, 366.0)"
"(469.0, 300.0)","(789.5, 233.5)","(870.0, 365.0)"
"(470.0, 301.5)","(793.0, 238.5)","(869.5, 362.5)"
"(471.0, 303.0)","(796.5, 245.5)","(869.0, 360.0)"
"(472.5, 306.0)","(800.5, 251.5)","(868.5, 359.5)"
"(474.0, 308.5)","(803.5, 258.0)","(866.5, 357.0)"
"(476.0, 311.0)","(806.5, 266.0)","(865.0, 353.5)"
"(477.5, 313.0)","(809.5, 271.5)","(864.5, 349.5)"
"(479.5, 313.5)","(813.0, 277.0)","(862.5, 348.5)"
"(481.0, 314.0)","(815.5, 285.5)","(862.0, 344.5)"
"(481.0, 317.0)","(819.5, 292.0)","(860.0, 338.0)"
"(481.5, 318.5)","(821.5, 298.0)","(856.0, 334.5)"
"(482.0, 322.5)","(826.0, 306.0)","(850.5, 330.5)"
"(481.5, 325.5)","(829.0, 314.5)","(848.5, 328.5)"
"(481.0, 330.5)","(835.0, 319.5)","(849.5, 327.0)"
"(481.0, 333.5)","(840.5, 319.5)","(848.0, 327.0)"
"(481.5, 335.5)","(842.0, 321.0)","(845.5, 325.0)"
"(480.0, 339.0)","(843.0, 322.0)","(846.5, 322.0)"
"(480.5, 341.5)","(843.5, 318.5)","(845.0, 318.5)"
"(479.5, 343.5)","(843.5, 314.0)","(845.0, 313.0)"
"(479.5, 347.0)","(840.5, 309.5)","(844.5, 310.5)"
"(479.0, 349.0)","(838.5, 306.5)","(840.5, 310.0)"
"(478.5, 351.5)","(837.0, 303.5)","(839.0, 307.5)"
"(477.0, 354.5)","(836.5, 299.5)","(836.0, 307.0)"
"(474.5, 356.5)","(833.5, 297.5)","(833.5, 305.5)"
"(472.5, 360.0)","(833.5, 295.0)","(833.0, 303.0)"
"(473.0, 366.0)","(832.0, 289.5)","(834.0, 300.0)"
"(472.0, 372.0)","(830.0, 286.5)","(834.5, 296.5)"
"(471.0, 377.5)","(828.5, 284.0)","(833.0, 294.5)"
"(469.5, 381.5)","(827.0, 281.5)","(830.5, 290.5)"
"(469.5, 385.0)","(826.0, 278.5)","(829.0, 287.5)"
"(470.0, 391.0)","(826.0, 275.5)","(825.5, 282.5)"
